Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,305.3,1739.6,1255.2,     Ok,   True,-18,0,-20,-120,10,-160,1,10,  SA, Trip SH5, Trip SHQ, Trip DCK, Flush T, Flush A, (1255.2, (11404, 100.0), (40543, 521.2), (41243, 497.7), (41321, 114.0), (61006, 12.2), (61411, 10.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,2150.3,2898.375,2737.4, Monster,   True,34,120,70,40,23,93,2,10,   Q, Pair J, Trip SSK, Four 6, Four 7, Five 8, (2737.4, (11204, 22.7), (21105, 30.4), (41344, 569.8), (80609, 1084.2), (80710, 560.5), (100800, 469.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,804.7,1872.8,1487.5,     Ok,   True,-16,0,-20,-240,-69,-449,0,10,   A, Pair 3, Pair 5, Pair 7, Flush A, EightSF K, (1487.5, (11401, 56.2), (20313, 3.5), (20511, 1.2), (20709, 0.2), (61412, 36.1), (151312, 1390.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,204.3,1264.2,955.3, Not Ok,  False,0,-40,-10,-160,17,-183,1,10,   A, Pair 6, Pair Q, Trip SD2, Four 4, FiveSF Q, (955.3, (11402, 67.8), (20610, 10.7), (21208, 16.9), (40242, 20.5), (80414, 515.3), (91211, 324.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,206.5,1302.375,1594.2, Not Ok,  False,0,-40,-10,360,89,639,4,10,   Q, Trip SD9, Trip HDJ, Trip SHA, Flush K, Four 8, (1594.2, (11202, 15.7), (40942, 755.0), (41132, 391.2), (41443, 218.1), (61313, 32.7), (80812, 181.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,179.4,939.9,1243.5,    Sad,  False,0,-40,-10,80,-70,10,2,11,   A, Trip HD3, Trip DCK, Trip SHA, Straight Q, Flush J, (1243.5, (11404, 100.0), (40332, 403.3), (41321, 513.4), (41443, 218.1), (51211, 7.1), (61109, 1.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,2,1869,3028.525,3583.9, Monster,   True,10,160,60,40,20,70,2,11,  CA, Pair K, Four 4, Four 7, Four 9, Four Q, (3583.9, (11401, 56.2), (21303, 37.4), (80405, 1568.0), (80706, 1103.4), (80911, 608.6), (81208, 210.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,533.8,1200.8,1144.8, Not Ok,  False,0,-40,-10,0,23,43,2,11,   A, Trip SD6, Trip SH8, Trip HDK, FullH 4, FullH 5, (1144.8, (11402, 67.8), (40642, 561.8), (40843, 268.4), (41332, 123.4), (70412, 99.1), (70510, 24.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,793.3,1870.475,1840.4,     Ok,   True,-10,0,-20,-240,-79,-479,0,11,   A, Pair K, Trip SD7, Trip SDJ, FiveSF 7, Five T, (1840.4, (11404, 100.0), (21314, 39.1), (40742, 225.9), (41142, 77.3), (90706, 913.5), (101000, 484.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,270.7,1049.2,666.6,    Sad,  False,0,-40,-10,-200,17,-233,1,11,   A, Trip SD2, Trip HC3, Trip HD8, Flush J, Flush K, (666.6, (11403, 82.5), (40242, 375.2), (40331, 141.4), (40832, 41.2), (61110, 18.4), (61312, 7.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
