Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,284.2,1224.9,983.8, Not Ok,  False,0,-40,-10,320,89,589,4,11,   J, Trip SC6, Trip DD7, Trip SC9, Flush Q, Four 3, (983.8, (11102, 7.8), (40641, 553.3), (40722, 212.9), (40941, 49.6), (61211, 24.6), (80310, 135.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,1442.7,2042.875,1995.3,   Good,   True,2,0,-20,80,-68,-8,2,12,   K, Pair 3, Pair 9, Trip SH5, Five Q, SixSF Q, (1995.3, (11304, 47.8), (20311, 3.0), (20910, 7.1), (40543, 29.9), (101200, 1189.3), (111211, 718.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,746.2,1958.55,1000.3,     Ok,   True,-20,0,-20,40,0,30,2,12,  CA, Trip SS3, Trip SC7, Trip SD9, FullH 2, Four 5, (1000.3, (11401, 56.2), (40344, 432.6), (40741, 222.1), (40942, 51.1), (70210, 81.4), (80513, 156.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1413.8,2225,2069.4,   Good,   True,37,40,90,40,60,210,3,12,9, Trip SS2, Trip SCK, Trip HHA, Flush Q, Six 8, (2069.4, (10904, 2.8), (40244, 391.6), (41341, 531.3), (41433, 181.2), (61207, 19.6), (120800, 942.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,1232.3,2592.8,2704.1, Monster,   True,28,0,-20,-240,-51,-471,0,12,   A, Pair 9, Pair K, Four J, FiveSF A, Five T, (2704.1, (11401, 56.2), (20906, 21.4), (21306, 19.1), (81107, 1169.2), (91405, 953.6), (101000, 484.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,401,1241.75,1157, Not Ok,  False,0,-40,-10,-240,17,-283,1,12,   A, Trip SS4, Trip SHJ, Trip SHK, Flush Q, Flush A, (1157.0, (11402, 67.8), (40444, 479.1), (41143, 429.5), (41343, 149.4), (61209, 21.1), (61411, 10.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,369.1,1919.925,1146.3,     Ok,   True,-47,0,-20,320,42,522,4,12,   K, Pair T, Trip SH2, Trip SSA, Four 6, Four 7, (1146.3, (11301, 26.9), (21009, 28.6), (40243, 138.2), (41444, 233.1), (80612, 546.4), (80712, 173.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,1191.4,2095.025,2376.6,   Good,   True,5,120,70,200,-63,187,3,13,   K, Pair 8, Trip HC5, Four 9, Four J, FiveSF A, (2376.6, (11304, 47.8), (20807, 17.8), (40531, 171.9), (80907, 1142.5), (81110, 651.6), (91413, 345.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,324.4,1314.7,1614.4, Not Ok,  False,0,-40,-10,0,0,-20,2,13,  DK, Trip HHT, Trip HHQ, Trip SDA, FullH 4, FullH 6, (1614.4, (11302, 32.5), (41033, 802.3), (41233, 462.6), (41442, 195.6), (70409, 96.6), (70602, 24.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,350.9,1371.625,1141.8, Not Ok,  False,0,-40,-10,0,60,160,3,13,   A, Trip SS5, Trip SH6, Trip SHT, FullH 4, Four 3, (1141.8, (11404, 100.0), (40544, 528.7), (40643, 207.4), (41043, 65.1), (70412, 99.1), (80314, 141.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,2,979.3,1967.975,2511.2,     Ok,   True,-2,0,-20,-240,-53,-493,0,13,   A, Trip HHJ, Trip SSQ, Trip HHK, Straight 6, Six 7, (2511.2, (11403, 82.5), (41133, 850.2), (41244, 510.9), (41333, 126.8), (50605, 1.0), (120700, 939.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,769.1,1901.45,1794.9,     Ok,   True,-3,0,-20,-240,14,-306,1,13,   Q, Trip SDJ, Trip HCK, Trip SDA, Flush K, Four 8, (1794.9, (11203, 18.9), (41142, 857.9), (41331, 517.6), (41442, 195.6), (61309, 27.0), (80810, 177.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,576.3,1407.325,1390.7, Not Ok,  False,0,-40,-10,280,42,472,4,13,   K, Trip SH7, Trip SH9, Trip HDA, FullH 3, Four 2, (1390.7, (11302, 32.5), (40743, 647.0), (40943, 314.2), (41432, 176.5), (70312, 92.2), (80210, 128.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,333.9,1762.675,1393.8,     Ok,   True,-58,0,-20,200,-121,109,3,14,   A, Trip SS8, Trip SHJ, Trip HDK, Flush A, FullH 2, (1393.8, (11402, 67.8), (40844, 721.2), (41143, 429.5), (41332, 123.4), (61413, 37.5), (70209, 14.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,519.6,1428.15,1348.5, Not Ok,  False,0,-40,-10,-40,0,-70,2,14,  CA, Pair 8, Trip SH4, Trip SHQ, Four 5, Five 9, (1348.5, (11401, 56.2), (20810, 18.9), (40443, 167.2), (41243, 107.9), (80511, 521.3), (100900, 477.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1492.4,3025.85,4211.1, Monster,   True,142,40,90,40,202,432,4,14,2,   J, Pair 5, Four K, Six 6, SevenSF A, (4211.1, (10203, 0.0), (11109, 0.2), (20508, 0.9), (81314, 1191.3), (120600, 1940.0), (131413, 1078.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,710.8,1688.7,2118.5,     Ok,   True,-20,0,-20,-240,-73,-533,0,14,   K, Pair 7, Trip SH3, Four 4, Four J, Four A, (2118.5, (11304, 47.8), (20706, 13.1), (40343, 151.5), (80408, 1020.1), (81112, 655.5), (81410, 230.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,1147.7,1694.775,3017.8,     Ok,   True,2,0,-20,-240,16,-324,1,14,   A, Pair 5, Pair 6, Trip SD7, Six 3, Six T, (3017.8, (11403, 82.5), (20512, 8.2), (20609, 1.8), (40742, 37.2), (120300, 1940.0), (121000, 948.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,2,529.6,1784.45,1994.6,     Ok,   True,-66,0,-20,280,-24,386,4,14,   A, Pair 8, Pair Q, Four 2, Four 7, FiveSF A, (1994.6, (11402, 67.8), (20811, 19.4), (21210, 18.0), (80213, 970.6), (80713, 573.8), (91413, 345.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,1421.5,2488.5,2959.5, Monster,   True,32,80,80,280,-89,301,4,15,   A, Pair 4, Pair 9, Four K, FiveSF A, SixSF 8, (2959.5, (11404, 100.0), (20410, 4.8), (20908, 6.8), (81314, 1191.3), (91413, 958.9), (110807, 697.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,254.7,1357.2,1155.5, Not Ok,  False,0,-40,-10,-80,0,-120,2,15,  HA, Trip SD6, Trip SST, Trip SSJ, Flush K, FullH 5, (1155.5, (11403, 82.5), (40642, 561.8), (41044, 374.0), (41144, 85.0), (61311, 29.9), (70503, 22.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,838,2479.275,2802.9, Monster,   True,-6,0,-20,40,196,406,4,15,   A, Pair 2, Trip SDQ, Four 9, Four T, Five 7, (2802.9, (11402, 67.8), (20208, 0.9), (41242, 476.4), (80913, 1151.1), (81014, 644.8), (100700, 461.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,742.5,2206.8,2102,   Good,   True,18,0,-20,-240,-55,-535,0,15,   A, Pair 8, Pair K, Trip SHQ, Five 5, SixSF A, (2102.0, (11401, 56.2), (20807, 17.8), (21307, 19.6), (41243, 107.9), (100500, 1169.9), (111406, 730.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,311,1595.725,1272, Not Ok,  False,0,-40,-10,-280,16,-374,1,15,   A, Trip SH6, Trip SHJ, Trip SSK, Flush J, FullH 4, (1272.0, (11402, 67.8), (40643, 579.2), (41143, 429.5), (41344, 157.9), (61110, 18.4), (70403, 19.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,429.8,1771.225,1301.8,     Ok,   True,-44,0,-20,280,-68,322,4,15,   A, Trip SS2, Trip SH8, Trip HDQ, Flush J, Five 3, (1301.8, (11404, 100.0), (40244, 391.6), (40843, 268.4), (41232, 92.3), (61111, 19.0), (100300, 430.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,491.2,2150.725,1198.5,   Good,   True,-42,0,-20,280,-131,239,4,16,   A, Trip DD4, Trip HD9, Trip SHT, Flush A, FiveSF T, (1198.5, (11401, 56.2), (40422, 436.8), (40932, 287.1), (41043, 65.1), (61413, 37.5), (91009, 315.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,500.7,1853.375,2480.9,     Ok,   True,-8,0,-20,-80,-8,-148,2,16,  SQ, Pair 5, Pair A, Four K, FiveSF 8, FiveSF J, (2480.9, (11204, 22.7), (20510, 7.4), (21409, 21.3), (81311, 1189.6), (90807, 919.9), (91110, 320.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,346.8,1197.275,1032.3,    Sad,  False,0,-40,-10,0,196,356,4,16,   K, Pair Q, Trip HD3, Trip SS4, Four 7, Four J, (1032.3, (11304, 47.8), (21209, 35.9), (40332, 143.5), (40444, 27.1), (80713, 573.8), (81110, 204.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,598.8,1068.85,1859.6,    Sad,  False,0,-40,-10,-280,-55,-585,0,16,   K, Trip SHQ, Trip DDA, Trip SHA, Flush J, Four 2, (1859.6, (11302, 32.5), (41243, 893.0), (41422, 570.9), (41443, 218.1), (61109, 16.8), (80210, 128.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,413.4,1597.5,1648.9, Not Ok,  False,0,-40,-10,-320,16,-424,1,16,   T, Trip DDJ, Trip SHQ, Trip SDK, Straight A, Four 6, (1648.9, (11004, 5.6), (41122, 840.4), (41243, 497.7), (41342, 135.7), (51405, 8.9), (80610, 160.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,2,1307.7,2864.05,3104.8, Monster,   True,50,120,70,400,-18,562,5,16,   A, Trip SH5, Trip SD7, Four 3, FiveSF Q, FiveSF K, (3104.8, (11404, 100.0), (40543, 521.2), (40742, 225.9), (80309, 987.4), (91211, 941.9), (91312, 328.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,522.4,1817.6,2423.5,     Ok,   True,-3,0,-20,280,-134,216,4,17,   A, Pair 9, Trip SH6, Four 8, Four T, FiveSF A, (2423.5, (11403, 82.5), (20907, 22.1), (40643, 207.4), (80811, 1133.4), (81013, 639.3), (91405, 338.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,338.9,1425.625,1500.4, Not Ok,  False,0,-40,-10,-120,-8,-198,2,17,  SA, Trip SD9, Trip HDJ, Trip SHK, FullH 2, FullH 7, (1500.4, (11404, 100.0), (40942, 755.0), (41132, 391.2), (41343, 149.4), (70206, 76.9), (70705, 27.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,286.7,1184.225,1706.1,    Sad,  False,0,-40,-10,-40,196,306,4,17,   T, Trip SH9, Trip SHQ, Trip HDA, FullH 7, Four 4, (1706.1, (11004, 5.6), (40943, 773.7), (41243, 497.7), (41432, 176.5), (70703, 108.8), (80410, 143.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,331.8,1051,1013.7,    Sad,  False,0,-40,-10,-320,-55,-635,0,17,   K, Trip SS6, Trip SH7, Trip HD9, FullH 2, FullH 3, (1013.7, (11303, 39.8), (40644, 588.7), (40743, 233.7), (40932, 48.5), (70214, 84.5), (70312, 18.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,327.2,2252.75,1348.7,   Good,   True,-45,0,-20,-320,-29,-489,1,17,   A, Pair 8, Trip SH3, Trip SHQ, Four 4, Five J, (1348.7, (11403, 82.5), (20807, 17.8), (40343, 151.5), (41243, 107.9), (80410, 496.6), (101100, 492.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,2,1897.2,3120.775,3144.7, Monster,   True,48,120,70,520,30,800,6,17,   A, Pair 5, Pair T, Four Q, FiveSF 8, Six K, (3144.7, (11402, 67.8), (20511, 7.8), (21008, 9.7), (81214, 1183.9), (90807, 919.9), (121300, 955.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,388.8,1652.625,2435.9,     Ok,   True,5,0,-20,280,-129,201,4,18,   K, Pair 6, Trip SHA, Four 2, Four T, Four J, (2435.9, (11302, 32.5), (20609, 10.3), (41443, 580.2), (80212, 967.5), (81013, 639.3), (81112, 206.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,523.7,781.5,1551.7,    Sad,  False,0,-40,-10,-160,-8,-248,2,18,  DA, Pair 5, Pair 6, Pair 8, FullH 4, Seven 9, (1551.7, (11402, 67.8), (20513, 8.5), (20612, 2.3), (20811, 0.4), (70403, 93.3), (140900, 1379.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,474.2,1614.725,2451.7,     Ok,   True,11,120,70,80,207,507,5,18,   J, Pair 8, Trip SDQ, Four 5, Four 7, FiveSF A, (2451.7, (11103, 9.3), (20806, 17.0), (41242, 476.4), (80506, 1045.5), (80709, 558.5), (91413, 345.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,334.9,1033.775,1033.3,    Sad,  False,0,-40,-10,-360,-55,-685,0,18,   A, Trip HH3, Trip SD4, Trip SS6, Straight K, FiveSF A, (1033.3, (11403, 82.5), (40333, 406.9), (40442, 162.8), (40644, 34.4), (51312, 7.9), (91405, 338.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,816.9,1753.875,1374.8,     Ok,   True,-16,0,-20,-320,-45,-525,1,18,   A, Trip SS2, Trip SH3, Trip HD4, Straight J, SixSF Q, (1374.8, (11403, 82.5), (40244, 391.6), (40343, 151.5), (40432, 24.9), (51110, 6.1), (111211, 718.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,211.1,1222.35,1909.3, Not Ok,  False,0,-40,-10,480,30,750,6,18,   J, Trip SHQ, Trip SHK, Trip DDA, FullH T, Four 7, (1909.3, (11104, 11.3), (41243, 893.0), (41343, 558.3), (41422, 164.9), (71006, 113.8), (80709, 168.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,828,1815.675,1712.2,     Ok,   True,8,160,60,440,-121,429,5,19,   Q, Trip SH9, Trip SSK, Trip SSA, FullH 3, FullH 6, (1712.2, (11203, 18.9), (40943, 773.7), (41344, 569.8), (41444, 233.1), (70311, 91.3), (70604, 25.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,401.8,1284.375,1787.7, Not Ok,  False,0,-40,-10,-200,-8,-298,2,19,  CK, Trip SH8, Trip SHJ, Trip HHA, FullH 7, FiveSF K, (1787.7, (11301, 26.9), (40843, 711.0), (41143, 429.5), (41433, 181.2), (70710, 110.7), (91312, 328.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,912.1,2293.45,1351,   Good,   True,-8,0,-20,80,199,479,5,19,   Q, Pair J, Trip SD4, Trip SS7, Flush A, SevenSF 8, (1351.0, (11204, 22.7), (21109, 32.5), (40442, 162.8), (40744, 39.3), (61412, 36.1), (130807, 1057.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,296.8,1049.45,899,    Sad,  False,0,-40,-10,-400,-55,-735,0,19,   A, Pair 8, Pair J, Pair Q, Four 9, Four T, (899.0, (11401, 56.2), (20807, 17.8), (21106, 11.8), (21206, 3.1), (80913, 617.5), (81007, 192.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,248.9,1089.625,385.7,    Sad,  False,0,-40,-10,-360,-45,-575,1,19,   A, Pair J, Pair Q, Pair K, FullH 5, Four 6, (385.7, (11402, 67.8), (21110, 33.5), (21209, 17.6), (21304, 4.1), (70508, 102.1), (80610, 160.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,401.7,1517.525,1313.4, Not Ok,  False,0,-40,-10,440,30,700,6,19,   Q, Trip SS5, Trip SDK, Trip SDA, Flush 9, FullH 2, (1313.4, (11204, 22.7), (40544, 528.7), (41342, 540.5), (41442, 195.6), (60909, 11.9), (70208, 14.0)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,543.9,2135.275,570.5,   Good,   True,-71,0,-20,440,-192,338,5,20,   A, Pair J, Pair Q, Pair K, FullH 6, FiveSF A, (570.5, (11402, 67.8), (21110, 33.5), (21210, 18.0), (21309, 5.9), (70607, 106.5), (91405, 338.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,580.9,1672.85,1469.2,     Ok,   True,-6,0,-20,-200,-14,-324,2,20,  SK, Trip SH9, Trip SHT, Trip SSA, Flush A, FullH 2, (1469.2, (11304, 47.8), (40943, 773.7), (41043, 365.6), (41444, 233.1), (61409, 33.6), (70212, 15.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1680.1,2568.675,2086.6, Monster,   True,42,0,-20,80,241,501,5,20,9, Trip SC4, Trip HD6, Trip SSK, FiveSF Q, FiveSF A, (2086.6, (10902, 2.1), (40441, 450.8), (40632, 195.1), (41344, 157.9), (91211, 941.9), (91405, 338.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,1325.9,3682,2785.6, Monster,   True,78,40,90,-360,23,-527,1,20,   A, Trip SS5, Trip DDJ, Four 4, Four 7, Four 8, (2785.6, (11403, 82.5), (40544, 528.7), (41122, 379.2), (80412, 1039.9), (80713, 573.8), (80812, 181.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,1222.3,2618.6,1328.2, Monster,   True,-43,0,-20,-360,-88,-638,1,20,   A, Pair 9, Pair T, Pair K, FiveSF 6, FiveSF 7, (1328.2, (11403, 82.5), (20912, 24.6), (21005, 8.1), (21305, 4.3), (90605, 907.4), (90706, 301.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,0,176.7,1111.475,335.6,    Sad,  False,0,-40,-10,400,30,650,6,20,   A, Pair 6, Trip SH3, Trip HD5, Flush K, Flush A, (335.6, (11404, 100.0), (20612, 11.5), (40343, 151.5), (40532, 28.1), (61312, 32.1), (61413, 12.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,392.7,1513.6,1402.3, Not Ok,  False,0,-40,-10,400,-192,288,5,21,   K, Trip HH6, Trip SSQ, Trip SDA, FullH 3, FullH 4, (1402.3, (11302, 32.5), (40633, 551.1), (41244, 510.9), (41442, 195.6), (70311, 91.3), (70409, 20.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,715.6,1721.525,1814.6,     Ok,   True,-20,0,-20,-200,-34,-364,2,21,  HK, Trip SHJ, Trip SHK, Trip SDA, Flush Q, Four 2, (1814.6, (11303, 39.8), (41143, 869.5), (41343, 558.3), (41442, 195.6), (61208, 20.0), (80212, 131.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,144.1,792.7,328.8,    Sad,  False,0,-40,-10,40,241,451,5,21,   A, Pair K, Trip SH3, Trip SD7, Flush T, Flush Q, (328.8, (11403, 82.5), (21311, 38.8), (40343, 151.5), (40742, 37.2), (61010, 14.7), (61211, 4.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,121,958.275,1668.9,    Sad,  False,0,-40,-10,-400,23,-577,1,21,   A, Trip SHT, Trip SHQ, Trip SHK, FullH 6, FullH 9, (1668.9, (11401, 56.2), (41043, 828.4), (41243, 497.7), (41343, 149.4), (70607, 106.5), (70905, 30.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,2080.9,3380.7,2114.1, Monster,   True,31,120,70,-240,-57,-417,2,21,   A, Pair 5, Pair 6, Four 9, Four J, Four Q, (2114.1, (11403, 82.5), (20507, 6.5), (20604, 1.4), (80908, 1145.6), (81114, 665.0), (81210, 213.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,925,1791.375,1886.9,     Ok,   True,-11,0,-20,400,19,619,6,21,   A, Pair 5, Pair T, Four 3, Four 7, Four 8, (1886.9, (11404, 100.0), (20509, 7.0), (21006, 8.6), (80313, 1008.7), (80714, 579.8), (80813, 182.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,611.9,1988.125,2303.4,     Ok,   True,-12,0,-20,0,-12,-32,0,1,   Q, Pair 9, Trip SSK, Four 3, Four 5, Four 8, (2303.4, (11202, 15.7), (20907, 22.1), (41344, 569.8), (80310, 994.9), (80511, 521.4), (80811, 179.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,1,610.4,1443.85,1676.3, Not Ok,  False,0,-40,-10,-40,0,-50,0,1,  CK, Pair 8, Pair 9, Trip SHA, Flush J, EightSF Q, (1676.3, (11301, 26.9), (20812, 19.8), (20910, 7.1), (41443, 218.1), (61107, 15.3), (151211, 1389.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,1094.1,3351.3,3500.2, Monster,   True,64,120,70,120,64,254,1,1,   A, Trip SH7, Trip HC8, Four 9, FiveSF A, Five 4, (3500.2, (11402, 67.8), (40743, 647.1), (40831, 242.4), (80913, 1151.0), (91405, 953.6), (100400, 438.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,627.8,1547.525,1653.4, Not Ok,  False,0,-40,-10,-40,0,-50,0,1,   A, Trip HHJ, Trip HDQ, Trip HHK, Straight 8, Four 2, (1653.4, (11403, 82.5), (41133, 850.2), (41232, 457.1), (41333, 126.8), (50807, 3.1), (80214, 133.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,463.8,1520.2,2427.6, Not Ok,  False,0,-40,-10,-40,0,-50,0,1,   K, Pair Q, Pair A, Trip HH2, FiveSF K, Seven 6, (2427.6, (11301, 26.9), (21210, 36.5), (21407, 21.2), (40233, 20.0), (91312, 946.2), (140600, 1376.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,440.7,1720.6,1406.9,     Ok,   True,-52,0,-20,0,-52,-72,0,1,   K, Trip SD7, Trip SCJ, Trip SHA, FullH 4, FullH 5, (1406.9, (11304, 47.8), (40742, 626.5), (41141, 399.0), (41443, 218.1), (70403, 93.4), (70502, 22.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,298.2,811.55,1015.9,    Sad,  False,0,-40,-10,360,-192,238,5,22,   A, Pair T, Trip SH2, Trip SS5, Flush A, SixSF 8, (1015.9, (11403, 82.5), (21013, 29.7), (40243, 138.2), (40544, 30.3), (61413, 37.5), (110807, 697.7)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,462.2,1710.425,1218.9,     Ok,   True,-94,0,-20,-200,-128,-478,2,22,  DA, Trip SH6, Trip HD7, Trip SDK, Flush A, Four 8, (1218.9, (11402, 67.8), (40643, 579.2), (40732, 218.6), (41342, 135.7), (61412, 36.1), (80812, 181.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,1,800.3,1945.475,1643.1,     Ok,   True,-42,0,-20,40,199,389,5,22,   K, Trip SH8, Trip HHT, Trip SDQ, Flush A, Five 3, (1643.1, (11301, 26.9), (40843, 711.0), (41033, 339.8), (41242, 99.8), (61411, 35.1), (100300, 430.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,1035.4,2686.575,2378.4, Monster,   True,24,0,-20,-400,47,-573,1,22,   T, Trip SH9, Trip SHJ, Trip HDA, Four K, FiveSF 7, (2378.4, (11003, 4.7), (40943, 773.7), (41143, 429.5), (41432, 176.5), (81310, 692.7), (90706, 301.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,281.6,1196.825,1237,    Sad,  False,0,-40,-10,-280,-57,-467,2,22,   Q, Pair T, Trip SS3, Trip DD9, Four 6, Five 5, (1237.0, (11202, 15.7), (21011, 29.0), (40344, 153.4), (40922, 46.7), (80612, 546.4), (100500, 445.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,3606.6,4933.125,4376.8, Monster,   True,112,80,80,480,131,891,7,22,   K, Trip DCA, Four 2, Four 4, Four J, Four Q, (4376.8, (11301, 26.9), (41421, 898.7), (80207, 1568.0), (80408, 1020.1), (81110, 651.6), (81209, 211.5)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
